Filme,Diretor,Gênero
Forrest Gump: O Contador de Histórias,Robert Zemeckis,Drama
O profissional,Luc Besson,Drama
O rei leão,Roger Allers e Rob Minkoff,Animação
Pulp fiction: tempo de violência,Quentin Tarantino,Policial
Quatro casamentos e um funeral,Mike Newell,Comédia
Um sonho de liberdade,Frank Darabont,Drama
A lista de Schindler,Steven Spielberg,Guerra
"Adeus, minha concubina",Chen Kaige,Drama
Em nome do pai,James Sheridan,Drama
Feitiço do tempo,Harold Ramis,Comédia
Jurassic Park: O Parque dos Dinossauros,Steven Spielberg,Aventura
Na linha de fogo,Wolfgang Petersen,Suspense
O fugitivo,Andrew Davis,Policial
O piano,Jane Campion,Drama
Um dia de fúria,Joel Schumacher,Drama
Vestígios do dia,James Ivory,Drama
A firma,Sidney Pollack,Drama
Aladdin,Ron Clements,Animação
Cães de aluguel,Quentin Tarantino,Policial
Dracula de Bran Stocker,Francis Ford Coppola,Terror
Instinto selvagem,Paul Verhoeven,Suspense
Mudança de hábito,Emile Ardolino,Comédia
Noites calmas,Keith Gordon,Guerra
O jogador,Robert Altmann,Comédia
Os imperdoáveis,Clint Eastwood,Western
Perfume de mulher,Martin Brest,Drama
Retorno a Howard's End,James Ivory,Drama
Traídos pelo desejo,Neil Jordan,Drama
A Bela e a Fera,Gary Trousdale,Animação
Baraka,Ron Fricke,Documentário
Barton Fink,Joel e Ethan Cohen,Comédia
Bugsy,Barry Levinson,Drama
JFK a verdade que não quer calar,Oliver Stone,Drama
Kafka,Steven Soderbergh,Drama
Lanternas vermelhas,Zhang Yimou,Drama
O Exterminador do Futuro 2: O Julgamento Final,James Cameron,Ficção
O silêncio dos inocentes,Jonathan Demme,Suspense
Thelma e Louise,Ridley Scott,Drama
Tomates verdes fritos,John Avnet,Drama
Caçada ao outubro vermelho,John McTiernan,Drama
Dança com lobos,Kevin Costner,Western
Edward mãos de tesoura,Tim Burton,Comédia
Esqueceram de mim,Chris Columbus,Comédia
O poderoso chefão III,Francis Ford Coppola,Drama
"Alien, o oitavo passageiro",Ridley Scott,Ficção
Conduzindo Miss Daisy,Bruce Beresford,Drama
Faça a coisa certa,Spike Lee,Drama
Indiana Jones e a Última Cruzada,Steven Spielberg,Aventura
Nascido em 4 de julho,Oliver Stone,Guerra
Pecados de guerra,Brian de Palma,Guerra
Sociedade dos poetas mortos,Peter Weir,Drama
A última tentação de Cristo,Martin Scorsese,Drama
Akira,Katsushiro Otomo,Animação
Cinema Paradiso,Giuseppe Tornatore,Drama
Corra que a polícia vem aí,David Zucker,Comédia
Duro de matar,John McTiernan,Policial
Meu Amigo Totoro,Hayao Miyazaki,Animação
Mississipi em chamas,Allan Parker,Drama
Mulheres à beira de um ataque de nervos,Pedro Almodóvar,Comédia
O turista acidental,Lawrence Kasdam,Drama
Os safados,Frank Oz,Comédia
Rain man,Barry Levinson,Drama
Túmulo dos Vagalumes,Isao Takahata,Animação
A Princesa Prometida,Rob Reiner,Aventura
Amazonas na lua,Joe Dante,Comédia
Asas do desejo,Win Wenders,Drama
Atração fatal,Adrian Lyne,Suspense
Coração satânico,Allan Parker,Drama
Hellraiser: renascido do inferno,Clive Barker,Terror
Homens de preto,Barry Sonnenfeld,Ficção
Inimigo íntimo,Alan Pakula,Drama
Nascido Para Matar,Stanley Kubrick,Guerra
O último imperador,Bernardo Bertolucci,Drama
Os intocáveis,Brian de Palma,Policial
RoboCop 1987,Paul Verhoeven,Policial
A missão,Roland Joffé,Drama
"Aliens, O Resgate",James Cameron,Ficção
Betty Blue,Jean-Jacques Beineix,Drama
Conta comigo,Rob Reiner,Drama
Curtindo a vida adoidado,John Huges,Comédia
Hannah e suas irmãs,Woody Allen,Drama
O bandido da luz vermelha,Rogério Sganzerla,Policial
O declínio do império americano,Denys Arcand,Drama
Os bons companheiros,Martin Scorsese,Drama
Platoon,Oliver Stone,Guerra
Brazil o filme,Terry Gilliam,Ficção
De volta para o futuro,Robert Zemeckis,Ficção
Depois de horas,Martin Scorsese,Comédia
Entre Dois Amores,Sydney Pollack,Drama
Nashville,Robert Altmann,Musical
Os Caçadores da Arca Perdida,Steven Spielberg,Aventura
Ran,Akira Kurosawa,Drama
Silverado,Lawrence Kasdam,Western
Vá e Veja,Elem Klimov,Guerra
Amadeus,Milos Forman,Drama
Dublê de corpo,Brian de Palma,Suspense
